game_id,personid,status,order_num,jerseynum,position,starter,oncourt,played,name,assists,blocks,blocksreceived,fieldgoalsattempted,fieldgoalsmade,fieldgoalspercentage,foulsoffensive,foulsdrawn,foulspersonal,foulstechnical,freethrowsattempted,freethrowsmade,freethrowspercentage,minus,minutes,minutescalculated,plus,plusminuspoints,points,pointsfastbreak,pointsinthepaint,pointssecondchance,reboundsdefensive,reboundsoffensive,reboundstotal,steals,threepointersattempted,threepointersmade,threepointerspercentage,turnovers,twopointersattempted,twopointersmade,twopointerspercentage,dd,td,fpts,team
0022400128,1630217,INACTIVE,13,22,,False,False,False,Desmond Bane,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Grizzlies
0022400128,1641713,INACTIVE,14,45,,False,False,False,GG Jackson,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Grizzlies
0022400128,1628379,INACTIVE,15,10,,False,False,False,Luke Kennard,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Grizzlies
0022400128,203935,INACTIVE,16,36,,False,False,False,Marcus Smart,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Grizzlies
0022400128,1642285,INACTIVE,17,24,,False,False,False,Cam Spencer,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Grizzlies
0022400128,1631246,INACTIVE,18,5,,False,False,False,Vince Williams Jr.,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Grizzlies
0022400131,1642346,ACTIVE,1,0,SF,True,True,True,Ryan Dunn,0,0,1,12,6,0.5,0,0,5,0,0,0,0.0,83.0,PT34M18.14S,PT34M,94.0,11.0,16,2,4,0,3,1,4,1,9,4,0.444444444444444,0,3,2,0.666666666666666,False,False,25.0,Suns
0022400131,201142,ACTIVE,2,35,PF,True,True,True,Kevin Durant,4,2,1,13,7,0.538461538461538,0,4,1,0,3,2,0.666666666666666,100.0,PT38M41.00S,PT39M,98.0,-2.0,18,4,10,0,5,0,5,1,4,2,0.5,4,9,5,0.555555555555556,False,False,35.25,Suns
0022400131,203994,ACTIVE,3,20,C,True,False,True,Jusuf Nurkic,2,0,1,6,3,0.5,1,3,2,0,4,4,1.0,51.0,PT23M05.00S,PT23M,62.0,11.0,11,0,4,0,3,0,3,0,2,1,0.5,3,4,2,0.5,False,False,16.75,Suns
0022400131,1626164,ACTIVE,4,1,SG,True,True,True,Devin Booker,8,0,0,18,11,0.611111111111111,0,11,1,0,15,13,0.866666666666667,88.0,PT37M46.97S,PT38M,108.0,20.0,40,10,8,0,4,1,5,3,9,5,0.555555555555556,2,9,6,0.666666666666666,False,False,65.75,Suns
0022400131,1626145,ACTIVE,5,21,PG,True,False,True,Tyus Jones,11,0,1,8,3,0.375,0,1,3,0,0,0,0.0,78.0,PT33M10.97S,PT33M,90.0,12.0,7,0,4,0,3,0,3,0,4,1,0.25,1,4,2,0.5,False,False,27.25,Suns
0022400131,1626220,ACTIVE,6,00,,False,True,True,Royce O'Neale,1,1,0,8,7,0.875,0,1,3,0,2,2,1.0,75.0,PT28M37.00S,PT29M,68.0,-7.0,21,5,4,2,6,1,7,1,6,5,0.833333333333334,0,2,2,1.0,False,False,37.75,Suns
0022400131,1628960,ACTIVE,7,8,,False,True,True,Grayson Allen,3,0,1,8,1,0.125,0,0,1,0,0,0,0.0,50.0,PT18M55.00S,PT19M,49.0,-1.0,2,0,2,0,5,0,5,4,5,0,0.0,0,3,1,0.333333333333333,False,False,20.75,Suns
0022400131,1628420,ACTIVE,8,23,,False,False,True,Monte Morris,0,0,0,1,0,0.0,0,0,0,0,0,0,0.0,14.0,PT03M27.00S,PT03M,3.0,-11.0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,False,False,0.0,Suns
0022400131,203486,ACTIVE,9,22,,False,False,True,Mason Plumlee,0,1,3,7,3,0.428571428571429,1,2,3,0,4,2,0.5,45.0,PT17M23.00S,PT17M,45.0,0.0,8,0,6,4,2,4,6,2,0,0,0.0,2,7,3,0.428571428571429,False,False,20.5,Suns
0022400131,1642345,ACTIVE,10,4,,False,False,True,Oso Ighodaro,0,0,0,1,1,1.0,0,0,1,0,0,0,0.0,11.0,PT04M35.92S,PT05M,8.0,-3.0,2,0,2,0,0,1,1,0,0,0,0.0,0,1,1,1.0,False,False,3.25,Suns
0022400131,1629626,ACTIVE,11,11,,False,False,False,Bol Bol,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Suns
0022400131,1631221,ACTIVE,12,12,,False,False,False,Collin Gillespie,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Suns
0022400131,1627814,ACTIVE,13,10,,False,False,False,Damion Lee,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Suns
0022400131,203078,INACTIVE,14,3,,False,False,False,Bradley Beal,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Suns
0022400131,1641779,INACTIVE,15,15,,False,False,False,Jalen Bridges,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Suns
0022400131,1629006,INACTIVE,16,2,,False,False,False,Josh Okogie,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Suns
0022400131,1631102,INACTIVE,17,14,,False,False,False,TyTy Washington Jr.,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Suns
0022400131,1629611,ACTIVE,1,14,SF,True,True,True,Terance Mann,2,0,0,8,4,0.5,0,0,3,0,0,0,0.0,83.0,PT31M11.00S,PT31M,83.0,0.0,8,2,6,2,1,3,4,1,2,0,0.0,0,6,4,0.666666666666666,False,False,18.0,Clippers
0022400131,1627884,ACTIVE,2,55,PF,True,True,True,Derrick Jones Jr.,2,0,2,10,4,0.4,0,1,5,0,2,2,1.0,72.0,PT24M19.00S,PT24M,66.0,-6.0,11,0,6,4,2,1,3,3,3,1,0.333333333333333,0,7,3,0.428571428571429,False,False,24.25,Clippers
0022400131,1627826,ACTIVE,3,40,C,True,False,True,Ivica Zubac,1,0,0,10,9,0.9,0,5,1,0,5,4,0.8,94.0,PT35M32.00S,PT36M,83.0,-11.0,22,0,18,2,7,5,12,1,0,0,0.0,2,10,9,0.9,True,False,41.0,Clippers
0022400131,1626181,ACTIVE,4,24,SG,True,True,True,Norman Powell,2,0,1,21,9,0.428571428571429,0,2,1,0,2,1,0.5,79.0,PT30M38.00S,PT31M,83.0,4.0,23,0,8,6,2,0,2,1,11,4,0.36363636363636404,2,10,5,0.5,False,False,31.5,Clippers
