position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
PG/SG,Kyle Lowry (37142296),Kyle Lowry,37142296,PG/SG/G/UTIL,3300,PHI@BOS 12/25/2024 05:00PM ET,PHI,13.69,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,kylelowry,200768,2024-12-25,Turbo1
C,Neemias Queta (37142453),Neemias Queta,37142453,C/UTIL,3300,PHI@BOS 12/25/2024 05:00PM ET,BOS,14.52,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,neemiasqueta,1629674,2024-12-25,Turbo1
PF/C,Maxi Kleber (37142418),Maxi Kleber,37142418,PF/C/F/UTIL,3200,MIN@DAL 12/25/2024 02:30PM ET,DAL,6.93,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,maxikleber,1628467,2024-12-25,Turbo1
PG,Jeff Dowtin (37142399),Jeff Dowtin,37142399,PG/G/UTIL,3100,PHI@BOS 12/25/2024 05:00PM ET,PHI,6.44,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,jeffdowtin,1630288,2024-12-25,Turbo1
SG/SF,Eric Gordon (37142307),Eric Gordon,37142307,SG/SF/F/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,PHI,9.97,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,ericgordon,201569,2024-12-25,Turbo1
PG,Reggie Jackson (37142320),Reggie Jackson,37142320,PG/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,PHI,9.23,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,reggiejackson,202704,2024-12-25,Turbo1
PF/C,Xavier Tillman (37142422),Xavier Tillman,37142422,PF/C/F/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,4.6,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,xaviertillman,1630214,2024-12-25,Turbo1
PF/C,Pete Nance (37142434),Pete Nance,37142434,PF/C/F/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,PHI,0.0,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,petenance,1631250,2024-12-25,Turbo1
PF,Drew Peterson (37142438),Drew Peterson,37142438,PF/F/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,7.79,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,drewpeterson,1641809,2024-12-25,Turbo1
SG/SF,Baylor Scheierman (37142462),Baylor Scheierman,37142462,SG/SF/F/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,3.55,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,baylorscheierman,1631248,2024-12-25,Turbo1
SF,Anton Watson (37142477),Anton Watson,37142477,SF/F/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,0.0,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,antonwatson,1641817,2024-12-25,Turbo1
