position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
PF/C,Brandon Clarke (37170958),Brandon Clarke,37170958,PF/C/F/UTIL,3600,MEM@OKC 12/29/2024 07:00PM ET,MEM,17.44,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,brandonclarke,1629634,2024-12-29,Night
PG/SG,Alec Burks (37170879),Alec Burks,37170879,PG/SG/G/UTIL,3500,MIA@HOU 12/29/2024 07:00PM ET,MIA,14.02,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,alecburks,202692,2024-12-29,Night
SG/SF,Isaiah Joe (37171017),Isaiah Joe,37171017,SG/SF/F/G/UTIL,3500,MEM@OKC 12/29/2024 07:00PM ET,OKC,16.24,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,isaiahjoe,1630198,2024-12-29,Night
SF/PF,Harrison Barnes (37170883),Harrison Barnes,37170883,SF/PF/F/UTIL,3500,SAS@MIN 12/29/2024 08:00PM ET,SAS,18.63,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,harrisonbarnes,203084,2024-12-29,Night
SF/PF,Jae'Sean Tate (37170921),Jae'Sean Tate,37170921,SF/PF/F/UTIL,3300,MIA@HOU 12/29/2024 07:00PM ET,HOU,8.25,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,jaeseantate,1630256,2024-12-29,Night
SF/PF,Haywood Highsmith (37170999),Haywood Highsmith,37170999,SF/PF/F/UTIL,3300,MIA@HOU 12/29/2024 07:00PM ET,MIA,15.71,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,haywoodhighsmith,1629312,2024-12-29,Night
PG,Ajay Mitchell (37171150),Ajay Mitchell,37171150,PG/G/UTIL,3300,MEM@OKC 12/29/2024 07:00PM ET,OKC,12.6,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,ajaymitchell,1642349,2024-12-29,Night
PG,Yuki Kawamura (37171212),Yuki Kawamura,37171212,PG/G/UTIL,3300,MEM@OKC 12/29/2024 07:00PM ET,MEM,2.11,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,yukikawamura,1642530,2024-12-29,Night
C,Zach Collins (37170972),Zach Collins,37170972,C/UTIL,3300,SAS@MIN 12/29/2024 08:00PM ET,SAS,14.35,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,zachcollins,1628380,2024-12-29,Night
PF/C,Kenrich Williams (37170917),Kenrich Williams,37170917,PF/C/F/UTIL,3200,MEM@OKC 12/29/2024 07:00PM ET,OKC,13.57,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,kenrichwilliams,1629026,2024-12-29,Night
C,Charles Bassey (37171048),Charles Bassey,37171048,C/UTIL,3200,SAS@MIN 12/29/2024 08:00PM ET,SAS,13.8,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,charlesbassey,1629646,2024-12-29,Night
C,Kel'el Ware (37171178),Kel'el Ware,37171178,C/UTIL,3100,MIA@HOU 12/29/2024 07:00PM ET,MIA,8.23,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,kelelware,1642276,2024-12-29,Night
PG/SG,Reed Sheppard (37171219),Reed Sheppard,37171219,PG/SG/G/UTIL,3100,MIA@HOU 12/29/2024 07:00PM ET,HOU,8.66,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,reedsheppard,1642263,2024-12-29,Night
C,Jaylin Williams (37171114),Jaylin Williams,37171114,C/UTIL,3100,MEM@OKC 12/29/2024 07:00PM ET,OKC,14.42,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,jaylinwilliams,1631119,2024-12-29,Night
PG,Tre Jones (37171003),Tre Jones,37171003,PG/G/UTIL,3100,SAS@MIN 12/29/2024 08:00PM ET,SAS,14.14,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,trejones,1630200,2024-12-29,Night
PF/C,Jeff Green (37170866),Jeff Green,37170866,PF/C/F/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,4.25,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,jeffgreen,201145,2024-12-29,Night
