"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Jeff Dowtin","0.59","PG","PHI","SAS","0.9","3,000","0.20","-14.41"
"Sidy Cissoko","0.59","SG","SAS","PHI","0.9","3,000","0.20","-14.41"
"Adem Bona","0.55","C","PHI","SAS","0.9","3,000","0.18","-14.45"
"Eric Gordon","0.51","SG/SF","PHI","SAS","0.9","3,100","0.16","-14.99"
"Kobe Bufkin","0.00","PG","ATL","MIN","0.0","3,000","0.00","-15.00"
"Bogdan Bogdanovic","0.00","SG/SF","ATL","MIN","0.0","4,800","0.00","-24.00"
"Dominick Barlow","0.00","C","ATL","MIN","0.0","3,000","0.00","-15.00"
"De'Anthony Melton","0.00","PG","BKN","MIA","0.0","3,000","0.00","-15.00"
"Cam Thomas","0.00","SG/SF","BKN","MIA","0.0","6,900","0.00","-34.50"
"Bojan Bogdanovic","0.00","SG","BKN","MIA","0.0","3,800","0.00","-19.00"
"Dorian Finney-Smith","0.00","PF","BKN","MIA","0.0","4,900","0.00","-24.50"
"Xavier Tillman","0.00","PF/C","BOS","ORL","0.0","3,000","0.00","-15.00"
"Neemias Queta","0.00","C","BOS","ORL","0.0","3,300","0.00","-16.50"
"Brandon Miller","0.00","SG/SF","CHA","HOU","0.0","8,800","0.00","-44.00"
"Torrey Craig","0.00","PF","CHI","MIL","0.0","3,000","0.00","-15.00"
"Lonzo Ball","0.00","PG/SG","CHI","MIL","0.0","3,900","0.00","-19.50"
"Josh Giddey","0.00","PG","CHI","MIL","0.0","6,800","0.00","-34.00"
"Isaac Okoro","0.00","SF/PF","CLE","UTA","0.0","4,000","0.00","-20.00"
"Dean Wade","0.00","SF/PF","CLE","UTA","0.0","3,700","0.00","-18.50"
"Markieff Morris","0.00","PF/C","DAL","POR","0.0","3,000","0.00","-15.00"
"Jazian Gortman","0.00","PG","DAL","POR","0.0","3,000","0.00","-15.00"
"Jamal Murray","0.00","PG/SG","DEN","PHX","0.0","7,000","0.00","-35.00"
"DaRon Holmes II","0.00","C","DEN","PHX","0.0","3,000","0.00","-15.00"
"Daniss Jenkins","0.00","PG","DET","LAL","0.0","3,000","0.00","-15.00"
"Isaiah Stewart","0.00","C","DET","LAL","0.0","3,600","0.00","-18.00"
"Dillon Brooks","0.00","SF","HOU","CHA","0.0","5,000","0.00","-25.00"
"Quenton Jackson","0.00","PG/SG","IND","GSW","0.0","3,000","0.00","-15.00"
"Tristen Newton","0.00","PG","IND","GSW","0.0","3,000","0.00","-15.00"
"Enrique Freeman","0.00","PF/C","IND","GSW","0.0","3,000","0.00","-15.00"
"Kawhi Leonard","0.00","PF/C","LAC","MEM","0.0","7,900","0.00","-39.50"
"Kobe Brown","0.00","PF/C","LAC","MEM","0.0","3,000","0.00","-15.00"
"Jalen Hood-Schifino","0.00","PG/SG","LAL","DET","0.0","3,000","0.00","-15.00"
"Jarred Vanderbilt","0.00","PF/C","LAL","DET","0.0","3,800","0.00","-19.00"
"Jaxson Hayes","0.00","C","LAL","DET","0.0","4,500","0.00","-22.50"
"Yuki Kawamura","0.00","PG","MEM","LAC","0.0","3,000","0.00","-15.00"
"Marcus Smart","0.00","PG/SG","MEM","LAC","0.0","4,100","0.00","-20.50"
"Vince Williams Jr.","0.00","PF","MEM","LAC","0.0","3,900","0.00","-19.50"
"Terry Rozier","0.00","PG/SG","MIA","BKN","0.0","4,900","0.00","-24.50"
"Josh Richardson","0.00","PG","MIA","BKN","0.0","3,000","0.00","-15.00"
"Jimmy Butler","0.00","SF/PF","MIA","BKN","0.0","8,000","0.00","-40.00"
"Damian Lillard","0.00","PG","MIL","CHI","0.0","9,000","0.00","-45.00"
"Giannis Antetokounmpo","0.00","PF/C","MIL","CHI","0.0","11,300","0.00","-56.50"
"Daishen Nix","0.00","PG","MIN","ATL","0.0","3,000","0.00","-15.00"
"Joe Ingles","0.00","PF","MIN","ATL","0.0","3,000","0.00","-15.00"
"Luka Garza","0.00","C","MIN","ATL","0.0","3,000","0.00","-15.00"
"Nikola Topic","0.00","PG","OKC","WAS","0.0","3,000","0.00","-15.00"
"Chet Holmgren","0.00","PF","OKC","WAS","0.0","7,800","0.00","-39.00"
"Gary Harris","0.00","SG/SF","ORL","BOS","0.0","3,400","0.00","-17.00"
"Franz Wagner","0.00","PF","ORL","BOS","0.0","9,500","0.00","-47.50"
"Paolo Banchero","0.00","PF","ORL","BOS","0.0","9,300","0.00","-46.50"
"Jared McCain","0.00","PG","PHI","SAS","0.0","3,000","0.00","-15.00"
"Collin Gillespie","0.00","PG","PHX","DEN","0.0","3,000","0.00","-15.00"
"Devin Booker","0.00","PG/SG","PHX","DEN","0.0","9,200","0.00","-46.00"
"Grayson Allen","0.00","SG","PHX","DEN","0.0","5,000","0.00","-25.00"
"Bol Bol","0.00","PF/C","PHX","DEN","0.0","3,000","0.00","-15.00"
"Matisse Thybulle","0.00","PF","POR","DAL","0.0","3,000","0.00","-15.00"
"Robert Williams","0.00","PF/C","POR","DAL","0.0","4,200","0.00","-21.00"
"Zach Collins","0.00","C","SAS","PHI","0.0","3,600","0.00","-18.00"
"Garrett Temple","0.00","SG","TOR","NYK","0.0","3,000","0.00","-15.00"
"Immanuel Quickley","0.00","PG","TOR","NYK","0.0","6,400","0.00","-32.00"
"Patty Mills","0.00","PG","UTA","CLE","0.0","3,000","0.00","-15.00"
"Keyonte George","0.00","PG","UTA","CLE","0.0","6,000","0.00","-30.00"
"John Collins","0.00","PF/C","UTA","CLE","0.0","6,900","0.00","-34.50"
"Alexandre Sarr","0.00","PF/C","WAS","OKC","0.0","5,400","0.00","-27.00"
"Onyeka Okongwu","0.00","C","ATL","MIN","0.0","4,400","0.00","-22.00"
"Drew Peterson","0.00","PF","BOS","ORL","0.0","3,000","0.00","-15.00"
"Ziaire Williams","0.00","SG/SF","BKN","MIA","0.0","5,100","0.00","-25.50"
"Trendon Watford","0.00","PF","BKN","MIA","0.0","4,300","0.00","-21.50"
"Taj Gibson","0.00","C","CHA","HOU","0.0","3,000","0.00","-15.00"
"Tre Mann","0.00","PG","CHA","HOU","0.0","4,100","0.00","-20.50"
"Adama Sanogo","0.00","C","CHI","MIL","0.0","3,000","0.00","-15.00"
"Luke Travers","0.00","SF","CLE","UTA","0.0","3,000","0.00","-15.00"
"Jaden Hardy","0.00","PG/SG","DAL","POR","0.0","3,800","0.00","-19.00"
"Dante Exum","0.00","SF","DAL","POR","0.0","3,000","0.00","-15.00"
"Brandon Williams","0.00","PG","DAL","POR","0.0","3,000","0.00","-15.00"
"Vlatko Cancar","0.00","C","DEN","PHX","0.0","3,000","0.00","-15.00"
"Alondes Williams","0.00","PG/SG","DET","LAL","0.0","3,000","0.00","-15.00"
"Gary Payton II","0.00","SF","GSW","IND","0.0","3,300","0.00","-16.50"
"Tari Eason","0.00","SF/PF","HOU","CHA","0.0","4,800","0.00","-24.00"
"Aaron Nesmith","0.00","SF/PF","IND","GSW","0.0","4,000","0.00","-20.00"
"Isaiah Jackson","0.00","C","IND","GSW","0.0","3,000","0.00","-15.00"
"P.J. Tucker","0.00","PF","LAC","MEM","0.0","3,000","0.00","-15.00"
"Terance Mann","0.00","SG/SF","LAC","MEM","0.0","3,400","0.00","-17.00"
"Christian Wood","0.00","C","LAL","DET","0.0","3,700","0.00","-18.50"
"Bronny James","0.00","PG/SG","LAL","DET","0.0","3,000","0.00","-15.00"
"Maxwell Lewis","0.00","PF","LAL","DET","0.0","3,000","0.00","-15.00"
"Jay Huff","0.00","C","MEM","LAC","0.0","3,000","0.00","-15.00"
"Gregory Jackson","0.00","PF","MEM","LAC","0.0","3,000","0.00","-15.00"
"AJ Johnson","0.00","SG","MIL","CHI","0.0","3,000","0.00","-15.00"
"Chris Livingston","0.00","SF","MIL","CHI","0.0","3,000","0.00","-15.00"
"Mitchell Robinson","0.00","C","NYK","TOR","0.0","3,900","0.00","-19.50"
"Adam Flagler","0.00","PG","OKC","WAS","0.0","3,000","0.00","-15.00"
"Moritz Wagner","0.00","C","ORL","BOS","0.0","4,700","0.00","-23.50"
"Mac McClung","0.00","PG","ORL","BOS","0.0","3,000","0.00","-15.00"
"Justin Edwards","0.00","SF","PHI","SAS","0.0","3,000","0.00","-15.00"
"TyTy Washington Jr.","0.00","PG","PHX","DEN","0.0","3,000","0.00","-15.00"
"Justin Minaya","0.00","PF","POR","DAL","0.0","3,000","0.00","-15.00"
"Bryce McGowens","0.00","SG","POR","DAL","0.0","3,000","0.00","-15.00"
"Riley Minix","0.00","PF","SAS","PHI","0.0","3,000","0.00","-15.00"
"David Duke Jr.","0.00","SG","SAS","PHI","0.0","3,000","0.00","-15.00"
"Harrison Ingram","0.00","PF","SAS","PHI","0.0","3,000","0.00","-15.00"
"Bruce Brown","0.00","SG/SF","TOR","NYK","0.0","4,400","0.00","-22.00"
"Jakob Poeltl","0.00","C","TOR","NYK","0.0","7,400","0.00","-37.00"
"Taylor Hendricks","0.00","PF","UTA","CLE","0.0","3,000","0.00","-15.00"
"Oscar Tshiebwe","0.00","C","UTA","CLE","0.0","3,000","0.00","-15.00"
"Bilal Coulibaly","0.00","SF","WAS","OKC","0.0","6,200","0.00","-31.00"
"Kyle Kuzma","0.00","PF","WAS","OKC","0.0","6,500","0.00","-32.50"
