Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Alex Caruso (37170529),Alex Caruso,37170529,SG/SF/F/G/UTIL,4000,MEM@OKC 12/29/2024 07:00PM ET,OKC,17.54
PF,Chris Boucher (37170538),Chris Boucher,37170538,PF/F/UTIL,3900,ATL@TOR 12/29/2024 06:00PM ET,TOR,19.88
SG/SF,Luke Kennard (37170541),Luke Kennard,37170541,SG/SF/F/G/UTIL,3900,MEM@OKC 12/29/2024 07:00PM ET,MEM,16.58
PG/SG,Stephon Castle (37170534),Stephon Castle,37170534,PG/SG/G/UTIL,3900,SAS@MIN 12/29/2024 08:00PM ET,SAS,21.94
C,Luke Kornet (37170551),Luke Kornet,37170551,C/UTIL,3800,IND@BOS 12/29/2024 06:00PM ET,BOS,15.83
SG/SF,Jordan Walsh (37170556),Jordan Walsh,37170556,SG/SF/F/G/UTIL,3800,IND@BOS 12/29/2024 06:00PM ET,BOS,4.67
SF/PF,Aaron Nesmith (37170565),Aaron Nesmith,37170565,SF/PF/F/UTIL,3800,IND@BOS 12/29/2024 06:00PM ET,IND,17.75
PF,Vince Williams Jr. (37170553),Vince Williams Jr.,37170553,PF/F/UTIL,3800,MEM@OKC 12/29/2024 07:00PM ET,MEM,14.75
SF/PF,Aaron Wiggins (37170561),Aaron Wiggins,37170561,SF/PF/F/UTIL,3800,MEM@OKC 12/29/2024 07:00PM ET,OKC,16.85
SG/SF,Nickeil Alexander-Walker (37170546),Nickeil Alexander-Walker,37170546,SG/SF/F/G/UTIL,3800,SAS@MIN 12/29/2024 08:00PM ET,MIN,19.32
C,Neemias Queta (37170578),Neemias Queta,37170578,C/UTIL,3700,IND@BOS 12/29/2024 06:00PM ET,BOS,14.09
SG/SF,Garrison Mathews (37170573),Garrison Mathews,37170573,SG/SF/F/G/UTIL,3700,ATL@TOR 12/29/2024 06:00PM ET,ATL,15.08
PG,Jamal Shead (37170580),Jamal Shead,37170580,PG/G/UTIL,3700,ATL@TOR 12/29/2024 06:00PM ET,TOR,12.30
SF/PF,Keldon Johnson (37170569),Keldon Johnson,37170569,SF/PF/F/UTIL,3700,SAS@MIN 12/29/2024 08:00PM ET,SAS,22.80
SF,Zaccharie Risacher (37170583),Zaccharie Risacher,37170583,SF/F/UTIL,3600,ATL@TOR 12/29/2024 06:00PM ET,ATL,19.34
PF/C,Brandon Clarke (37170586),Brandon Clarke,37170586,PF/C/F/UTIL,3600,MEM@OKC 12/29/2024 07:00PM ET,MEM,17.44
SF/PF,Jarace Walker (37170590),Jarace Walker,37170590,SF/PF/F/UTIL,3500,IND@BOS 12/29/2024 06:00PM ET,IND,15.03
PG/SG,Alec Burks (37170603),Alec Burks,37170603,PG/SG/G/UTIL,3500,MIA@HOU 12/29/2024 07:00PM ET,MIA,14.02
SG/SF,Isaiah Joe (37170598),Isaiah Joe,37170598,SG/SF/F/G/UTIL,3500,MEM@OKC 12/29/2024 07:00PM ET,OKC,16.24
SF/PF,Harrison Barnes (37170594),Harrison Barnes,37170594,SF/PF/F/UTIL,3500,SAS@MIN 12/29/2024 08:00PM ET,SAS,18.63
SG/SF,Ben Sheppard (37170607),Ben Sheppard,37170607,SG/SF/F/G/UTIL,3400,IND@BOS 12/29/2024 06:00PM ET,IND,11.62
PG/SG,Davion Mitchell (37170617),Davion Mitchell,37170617,PG/SG/G/UTIL,3300,ATL@TOR 12/29/2024 06:00PM ET,TOR,18.42
SF/PF,Haywood Highsmith (37170621),Haywood Highsmith,37170621,SF/PF/F/UTIL,3300,MIA@HOU 12/29/2024 07:00PM ET,MIA,15.71
SF/PF,Jae'Sean Tate (37170625),Jae'Sean Tate,37170625,SF/PF/F/UTIL,3300,MIA@HOU 12/29/2024 07:00PM ET,HOU,8.25
PG,Ajay Mitchell (37170614),Ajay Mitchell,37170614,PG/G/UTIL,3300,MEM@OKC 12/29/2024 07:00PM ET,OKC,12.60
PG,Yuki Kawamura (37170629),Yuki Kawamura,37170629,PG/G/UTIL,3300,MEM@OKC 12/29/2024 07:00PM ET,MEM,2.11
C,Zach Collins (37170612),Zach Collins,37170612,C/UTIL,3300,SAS@MIN 12/29/2024 08:00PM ET,SAS,14.35
SF,Jamison Battle (37170638),Jamison Battle,37170638,SF/F/UTIL,3200,ATL@TOR 12/29/2024 06:00PM ET,TOR,11.02
PF/C,Kenrich Williams (37170634),Kenrich Williams,37170634,PF/C/F/UTIL,3200,MEM@OKC 12/29/2024 07:00PM ET,OKC,13.57
C,Charles Bassey (37170632),Charles Bassey,37170632,C/UTIL,3200,SAS@MIN 12/29/2024 08:00PM ET,SAS,13.8
PG/SG,Vit Krejci (37170650),Vit Krejci,37170650,PG/SG/G/UTIL,3100,ATL@TOR 12/29/2024 06:00PM ET,ATL,9.08
PG/SG,Reed Sheppard (37170646),Reed Sheppard,37170646,PG/SG/G/UTIL,3100,MIA@HOU 12/29/2024 07:00PM ET,HOU,8.66
C,Kel'el Ware (37170654),Kel'el Ware,37170654,C/UTIL,3100,MIA@HOU 12/29/2024 07:00PM ET,MIA,8.23
C,Jaylin Williams (37170644),Jaylin Williams,37170644,C/UTIL,3100,MEM@OKC 12/29/2024 07:00PM ET,OKC,14.42
PG,Tre Jones (37170641),Tre Jones,37170641,PG/G/UTIL,3100,SAS@MIN 12/29/2024 08:00PM ET,SAS,14.14
SG/SF,Baylor Scheierman (37170706),Baylor Scheierman,37170706,SG/SF/F/G/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,BOS,3.55
PG,JD Davison (37170711),JD Davison,37170711,PG/G/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,BOS,1.9
