position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
C,Neemias Queta (37170578),Neemias Queta,37170578,C/UTIL,3700,IND@BOS 12/29/2024 06:00PM ET,BOS,14.09,2024-12-29 18:00:00-05:00,IND,1610612738,1610612754,neemiasqueta,1629674,2024-12-29,Main
SG/SF,Garrison Mathews (37170573),Garrison Mathews,37170573,SG/SF/F/G/UTIL,3700,ATL@TOR 12/29/2024 06:00PM ET,ATL,15.08,2024-12-29 18:00:00-05:00,TOR,1610612737,1610612761,garrisonmathews,1629726,2024-12-29,Main
PG,Jamal Shead (37170580),Jamal Shead,37170580,PG/G/UTIL,3700,ATL@TOR 12/29/2024 06:00PM ET,TOR,12.3,2024-12-29 18:00:00-05:00,ATL,1610612761,1610612737,jamalshead,1642347,2024-12-29,Main
SF/PF,Keldon Johnson (37170569),Keldon Johnson,37170569,SF/PF/F/UTIL,3700,SAS@MIN 12/29/2024 08:00PM ET,SAS,22.8,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,keldonjohnson,1629640,2024-12-29,Main
SF,Zaccharie Risacher (37170583),Zaccharie Risacher,37170583,SF/F/UTIL,3600,ATL@TOR 12/29/2024 06:00PM ET,ATL,19.34,2024-12-29 18:00:00-05:00,TOR,1610612737,1610612761,zaccharierisacher,1642258,2024-12-29,Main
PF/C,Brandon Clarke (37170586),Brandon Clarke,37170586,PF/C/F/UTIL,3600,MEM@OKC 12/29/2024 07:00PM ET,MEM,17.44,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,brandonclarke,1629634,2024-12-29,Main
SF/PF,Jarace Walker (37170590),Jarace Walker,37170590,SF/PF/F/UTIL,3500,IND@BOS 12/29/2024 06:00PM ET,IND,15.03,2024-12-29 18:00:00-05:00,BOS,1610612754,1610612738,jaracewalker,1641716,2024-12-29,Main
PG/SG,Alec Burks (37170603),Alec Burks,37170603,PG/SG/G/UTIL,3500,MIA@HOU 12/29/2024 07:00PM ET,MIA,14.02,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,alecburks,202692,2024-12-29,Main
SG/SF,Isaiah Joe (37170598),Isaiah Joe,37170598,SG/SF/F/G/UTIL,3500,MEM@OKC 12/29/2024 07:00PM ET,OKC,16.24,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,isaiahjoe,1630198,2024-12-29,Main
SF/PF,Harrison Barnes (37170594),Harrison Barnes,37170594,SF/PF/F/UTIL,3500,SAS@MIN 12/29/2024 08:00PM ET,SAS,18.63,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,harrisonbarnes,203084,2024-12-29,Main
SG/SF,Ben Sheppard (37170607),Ben Sheppard,37170607,SG/SF/F/G/UTIL,3400,IND@BOS 12/29/2024 06:00PM ET,IND,11.62,2024-12-29 18:00:00-05:00,BOS,1610612754,1610612738,bensheppard,1641767,2024-12-29,Main
PG/SG,Davion Mitchell (37170617),Davion Mitchell,37170617,PG/SG/G/UTIL,3300,ATL@TOR 12/29/2024 06:00PM ET,TOR,18.42,2024-12-29 18:00:00-05:00,ATL,1610612761,1610612737,davionmitchell,1630558,2024-12-29,Main
